Run: 2016, exploration: 0.00, score: 280.2884833940004, time: 222.335467338562
Run: 2116, exploration: 0.00, score: 284.390134866708, time: 232.3135347366333
Run: 2123, exploration: 0.00, score: 277.54896869075253, time: 233.26311993598938
Run: 2124, exploration: 0.00, score: 279.2838930529161, time: 233.59742093086243
Run: 2196, exploration: 0.00, score: 314.3663712739567, time: 241.12755584716797
Run: 2207, exploration: 0.00, score: 315.22694746920064, time: 241.913010597229
Run: 2210, exploration: 0.00, score: 313.923054407776, time: 242.239075422287
Run: 2284, exploration: 0.00, score: 306.93483024033765, time: 250.72211503982544
Run: 2290, exploration: 0.00, score: 322.29042761123617, time: 251.9754147529602
Run: 2297, exploration: 0.00, score: 318.0148736644542, time: 252.27397799491882
Run: 2430, exploration: 0.00, score: 305.11488546161075, time: 265.96136355400085
Run: 2440, exploration: 0.00, score: 301.9761922584536, time: 266.76035356521606
Run: 2445, exploration: 0.00, score: 304.5312051203592, time: 267.1867232322693
Run: 2515, exploration: 0.00, score: 307.4595798095055, time: 277.23186326026917
Run: 2526, exploration: 0.00, score: 306.93452648600055, time: 278.21798944473267
Run: 2530, exploration: 0.00, score: 308.9560658619753, time: 278.56293511390686
Run: 2645, exploration: 0.00, score: 354.3230169195675, time: 293.08153676986694
Run: 2649, exploration: 0.00, score: 359.8845301092856, time: 293.9675750732422
Run: 2653, exploration: 0.00, score: 358.5644788830313, time: 294.9125213623047
Run: 2793, exploration: 0.00, score: 321.4121713961318, time: 308.34315752983093
Run: 2803, exploration: 0.00, score: 322.2306838072691, time: 309.39533376693726
Run: 2805, exploration: 0.00, score: 320.15902635800893, time: 309.81494665145874
Run: 2894, exploration: 0.00, score: 283.13008239201423, time: 318.7420449256897
Run: 2898, exploration: 0.00, score: 287.6037289988358, time: 319.70590829849243
Run: 2902, exploration: 0.00, score: 289.6206074311929, time: 320.1360399723053
Run: 2982, exploration: 0.00, score: 271.7711745135914, time: 327.72483253479004
Run: 2993, exploration: 0.00, score: 271.4623347936266, time: 328.9648811817169
Run: 2998, exploration: 0.00, score: 269.1403277377002, time: 329.27370381355286
Run: 3076, exploration: 0.00, score: 241.9826966815238, time: 336.3470356464386
Run: 3095, exploration: 0.00, score: 236.62431945131175, time: 338.9564218521118
Run: 3097, exploration: 0.00, score: 235.09063547954665, time: 339.38641595840454
Run: 3203, exploration: 0.00, score: 232.01059221678702, time: 349.57268810272217
Run: 3216, exploration: 0.00, score: 229.2248235789066, time: 350.4668974876404
Run: 3228, exploration: 0.00, score: 230.64396486380284, time: 350.85602355003357
Run: 3311, exploration: 0.00, score: 228.2771066422497, time: 359.31561183929443
Run: 3322, exploration: 0.00, score: 231.31189521607624, time: 360.4101312160492
Run: 3324, exploration: 0.00, score: 231.3857961536714, time: 360.79219818115234
Run: 3414, exploration: 0.00, score: 242.9416190507916, time: 370.00399255752563
Run: 3422, exploration: 0.00, score: 242.0140351682078, time: 370.99989080429077
Run: 3425, exploration: 0.00, score: 240.79035105040077, time: 371.2770240306854
Run: 3525, exploration: 0.00, score: 241.38914372739953, time: 380.69755482673645
Run: 3536, exploration: 0.00, score: 239.34495881507644, time: 381.6792404651642
Run: 3546, exploration: 0.00, score: 240.14930647043278, time: 382.2423930168152
Run: 3642, exploration: 0.00, score: 223.10270921729736, time: 390.96448850631714
Run: 3654, exploration: 0.00, score: 226.05579277586165, time: 391.92140769958496
Run: 3659, exploration: 0.00, score: 229.30454542810293, time: 392.2963273525238
Run: 3758, exploration: 0.00, score: 247.9635026244398, time: 402.6001572608948
Run: 3772, exploration: 0.00, score: 254.8357722402666, time: 403.641149520874
Run: 3776, exploration: 0.00, score: 255.60088133783964, time: 403.99223256111145
Run: 3851, exploration: 0.00, score: 276.9413184875081, time: 411.75056076049805
Run: 3863, exploration: 0.00, score: 277.80123237264047, time: 412.65108489990234
Run: 3874, exploration: 0.00, score: 275.9255630663649, time: 413.5111184120178
Run: 3945, exploration: 0.00, score: 255.25800220095834, time: 420.72344732284546
Run: 3960, exploration: 0.00, score: 253.26997587975578, time: 421.72948360443115
Run: 3963, exploration: 0.00, score: 249.73630582871098, time: 422.16303300857544
Run: 4062, exploration: 0.00, score: 242.6196114474519, time: 431.538126707077
Run: 4067, exploration: 0.00, score: 241.1083762156077, time: 432.5452444553375
Run: 4069, exploration: 0.00, score: 239.77372990210273, time: 432.8866059780121
Run: 4171, exploration: 0.00, score: 243.52272948725926, time: 442.07522892951965
Run: 4179, exploration: 0.00, score: 248.82687183455323, time: 443.0223345756531
Run: 4188, exploration: 0.00, score: 245.94399864058394, time: 443.5302002429962
Run: 4273, exploration: 0.00, score: 278.36867324036416, time: 452.00505471229553
Run: 4296, exploration: 0.00, score: 283.4500094587247, time: 453.70301389694214
Run: 4300, exploration: 0.00, score: 286.4652472827901, time: 454.0931205749512
Run: 4372, exploration: 0.00, score: 294.5394216330079, time: 461.570951461792
Run: 4384, exploration: 0.00, score: 287.3303192184227, time: 462.50883960723877
Run: 4391, exploration: 0.00, score: 289.97521461680594, time: 462.9687294960022
Run: 4476, exploration: 0.00, score: 283.2226734323876, time: 471.40599632263184
Run: 4488, exploration: 0.00, score: 284.27423737036395, time: 472.4785304069519
Run: 4492, exploration: 0.00, score: 281.7248189906203, time: 472.91129779815674
Run: 4577, exploration: 0.00, score: 271.0435319695025, time: 481.3301377296448
Run: 4584, exploration: 0.00, score: 267.0129142024254, time: 482.3171396255493
Run: 4592, exploration: 0.00, score: 264.2921697240716, time: 482.65702199935913
Run: 4686, exploration: 0.00, score: 250.77695800082932, time: 491.30491852760315
Run: 4700, exploration: 0.00, score: 262.7033805385051, time: 492.37950325012207
Run: 4703, exploration: 0.00, score: 261.15586957770466, time: 492.71331763267517
Run: 4797, exploration: 0.00, score: 274.023722772139, time: 503.2940306663513
Run: 4810, exploration: 0.00, score: 272.55654349435565, time: 504.1853759288788
Run: 4825, exploration: 0.00, score: 270.39615669907494, time: 504.73995447158813
Run: 4911, exploration: 0.00, score: 268.54921170212697, time: 514.137086391449
Run: 4924, exploration: 0.00, score: 267.08023945743764, time: 515.071804523468
Run: 4936, exploration: 0.00, score: 264.28356580533045, time: 515.6082127094269
Run: 5010, exploration: 0.00, score: 252.77333789657183, time: 524.7127449512482
Run: 30, exploration: 0.00, score: 250.68610056173046, time: 9.572609663009644
Run: 82, exploration: 0.00, score: 323.4804966884175, time: 15.43231725692749
Run: 96, exploration: 0.00, score: 342.45425844907703, time: 18.97301149368286
Run: 156, exploration: 0.00, score: 334.7261887731012, time: 30.962658643722534
Run: 180, exploration: 0.00, score: 336.1741951375238, time: 34.572875022888184
Run: 191, exploration: 0.00, score: 345.8141516079319, time: 37.40877056121826
Run: 241, exploration: 0.00, score: 330.6385886542569, time: 44.95003294944763
Run: 280, exploration: 0.00, score: 295.767099004646, time: 49.901400566101074
Run: 295, exploration: 0.00, score: 292.99375009240936, time: 52.77128720283508
Run: 349, exploration: 0.00, score: 303.14493112354, time: 60.59311556816101
