Run: 189, exploration: 0, score: 247, time: 52.40234351158142
Run: 190, exploration: 0, score: 434, time: 52.70462775230408
Run: 191, exploration: 0, score: 277, time: 52.992697954177856
Run: 192, exploration: 0, score: 158, time: 53.258572578430176
Run: 193, exploration: 0, score: 324, time: 53.53502058982849
Run: 194, exploration: 0, score: 426, time: 53.8219473361969
Run: 195, exploration: 0, score: 319, time: 54.161980390548706
Run: 196, exploration: 0, score: 194, time: 54.42658758163452
Run: 197, exploration: 0, score: 457, time: 54.720996618270874
Run: 198, exploration: 0, score: 175, time: 54.995558738708496
Run: 199, exploration: 0, score: 950, time: 55.327311754226685
Run: 200, exploration: 0, score: 180, time: 56.694653272628784
Run: 201, exploration: 0, score: 192, time: 57.030245542526245
Run: 202, exploration: 0, score: 291, time: 57.32174038887024
Run: 203, exploration: 0, score: 155, time: 57.591535329818726
Run: 204, exploration: 0, score: 183, time: 57.8992018699646
Run: 205, exploration: 0, score: 330, time: 58.18727445602417
Run: 206, exploration: 0, score: 397, time: 58.51393413543701
Run: 207, exploration: 0, score: 181, time: 58.767903566360474
Run: 208, exploration: 0, score: 379, time: 59.015960931777954
Run: 209, exploration: 0, score: 491, time: 59.28636884689331
Run: 210, exploration: 0, score: 122, time: 59.54822778701782
Run: 211, exploration: 0, score: 460, time: 59.79429912567139
Run: 212, exploration: 0, score: 280, time: 60.04765009880066
Run: 213, exploration: 0, score: 496, time: 60.32338762283325
Run: 214, exploration: 0, score: 150, time: 60.580878019332886
Run: 215, exploration: 0, score: 242, time: 60.823819398880005
Run: 216, exploration: 0, score: 171, time: 61.06465744972229
Run: 217, exploration: 0, score: 466, time: 61.377928733825684
Run: 218, exploration: 0, score: 634, time: 61.64354491233826
Run: 219, exploration: 0, score: 143, time: 61.89824032783508
Run: 220, exploration: 0, score: 447, time: 62.16041660308838
Run: 221, exploration: 0, score: 549, time: 62.412988901138306
Run: 222, exploration: 0, score: 340, time: 62.66784167289734
Run: 223, exploration: 0, score: 191, time: 62.921507120132446
Run: 224, exploration: 0, score: 186, time: 63.16929531097412
Run: 225, exploration: 0, score: 906, time: 63.44533562660217
Run: 226, exploration: 0, score: 341, time: 63.745381355285645
Run: 227, exploration: 0, score: 700, time: 64.025306224823
Run: 228, exploration: 0, score: 257, time: 64.34661817550659
Run: 229, exploration: 0, score: 170, time: 64.61273217201233
Run: 230, exploration: 0, score: 189, time: 64.86822152137756
Run: 231, exploration: 0, score: 503, time: 65.2025465965271
