Run: 94, exploration: 0.47055216154035656, score: 54, time: 572.3691136837006
Run: 95, exploration: 0.46819940073265476, score: 1000, time: 590.3497314453125
Run: 96, exploration: 0.46585840372899145, score: 1000, time: 609.0908353328705
Run: 97, exploration: 0.4635291117103465, score: 1000, time: 627.8184366226196
Run: 98, exploration: 0.46121146615179476, score: 1000, time: 647.4544603824615
Run: 99, exploration: 0.4589054088210358, score: 1000, time: 666.9306976795197
Run: 100, exploration: 0.45661088177693065, score: 1000, time: 686.5715143680573
Run: 101, exploration: 0.454327827368046, score: 67, time: 694.3924698829651
Run: 102, exploration: 0.45205618823120575, score: 41, time: 700.5389440059662
Run: 103, exploration: 0.4497959072900497, score: 64, time: 706.8456771373749
Run: 104, exploration: 0.44754692775359944, score: 30, time: 712.4311344623566
Run: 105, exploration: 0.44530919311483147, score: 41, time: 718.2079226970673
Run: 106, exploration: 0.4430826471492573, score: 34, time: 723.7596230506897
Run: 107, exploration: 0.440867233913511, score: 37, time: 729.4874966144562
Run: 108, exploration: 0.43866289774394346, score: 45, time: 735.0515704154968
Run: 109, exploration: 0.4364695832552237, score: 34, time: 740.5093100070953
Run: 110, exploration: 0.4342872353389476, score: 34, time: 746.0567755699158
Run: 111, exploration: 0.43211579916225284, score: 31, time: 751.3636393547058
Run: 112, exploration: 0.42995522016644155, score: 30, time: 757.0843381881714
Run: 113, exploration: 0.42780544406560933, score: 32, time: 762.6975684165955
Run: 114, exploration: 0.4256664168452813, score: 37, time: 768.3534705638885
Run: 115, exploration: 0.42353808476105487, score: 70, time: 774.2936341762543
Run: 116, exploration: 0.4214203943372496, score: 37, time: 780.0830361843109
Run: 117, exploration: 0.41931329236556336, score: 57, time: 786.3025107383728
Run: 118, exploration: 0.41721672590373554, score: 35, time: 792.1638851165771
Run: 119, exploration: 0.41513064227421687, score: 36, time: 798.0309045314789
Run: 120, exploration: 0.41305498906284577, score: 40, time: 803.6264522075653
Run: 121, exploration: 0.41098971411753155, score: 34, time: 809.4468007087708
Run: 122, exploration: 0.4089347655469439, score: 36, time: 815.0994734764099
Run: 123, exploration: 0.4068900917192092, score: 45, time: 821.0265100002289
Run: 124, exploration: 0.40485564126061313, score: 30, time: 826.8434422016144
Run: 125, exploration: 0.40283136305431005, score: 45, time: 832.6294975280762
Run: 126, exploration: 0.4008172062390385, score: 35, time: 838.1363034248352
Run: 127, exploration: 0.3988131202078433, score: 1000, time: 859.7472167015076
Run: 128, exploration: 0.3968190546068041, score: 245, time: 868.1590151786804
Run: 129, exploration: 0.3948349593337701, score: 31, time: 873.8431107997894
Run: 130, exploration: 0.39286078453710127, score: 38, time: 879.4129292964935
Run: 131, exploration: 0.3908964806144158, score: 44, time: 885.0985491275787
Run: 132, exploration: 0.38894199821134373, score: 35, time: 890.8376369476318
Run: 133, exploration: 0.386997288220287, score: 33, time: 896.3404016494751
Run: 134, exploration: 0.38506230177918555, score: 32, time: 902.0279910564423
Run: 135, exploration: 0.38313699027028963, score: 27, time: 907.3982663154602
Run: 136, exploration: 0.38122130531893816, score: 52, time: 913.3559515476227
Run: 137, exploration: 0.3793151987923435, score: 27, time: 918.9339711666107
Run: 138, exploration: 0.3774186227983818, score: 1000, time: 940.5446074008942
Run: 139, exploration: 0.37553152968438985, score: 1000, time: 961.8040194511414
Run: 140, exploration: 0.3736538720359679, score: 1000, time: 983.4473378658295
Run: 141, exploration: 0.37178560267578803, score: 34, time: 988.9869194030762
Run: 142, exploration: 0.3699266746624091, score: 37, time: 994.6962027549744
Run: 143, exploration: 0.368077041289097, score: 44, time: 1000.3682975769043
Run: 144, exploration: 0.36623665608265155, score: 1000, time: 1021.9848692417145
Run: 145, exploration: 0.3644054728022383, score: 1000, time: 1043.364918231964
Run: 146, exploration: 0.36258344543822707, score: 1000, time: 1064.9177827835083
Run: 147, exploration: 0.36077052821103595, score: 1000, time: 1085.977528333664
Run: 148, exploration: 0.35896667556998074, score: 1000, time: 1108.3369464874268
Run: 149, exploration: 0.35717184219213083, score: 1000, time: 1129.2661745548248
Run: 150, exploration: 0.3553859829811702, score: 1000, time: 1150.4196979999542
Run: 151, exploration: 0.35360905306626433, score: 1000, time: 1172.5206050872803
Run: 152, exploration: 0.351841007800933, score: 1000, time: 1194.4733424186707
Run: 153, exploration: 0.35008180276192835, score: 1000, time: 1216.4555695056915
Run: 154, exploration: 0.3483313937481187, score: 1000, time: 1238.6171159744263
Run: 155, exploration: 0.34658973677937815, score: 31, time: 1244.647486448288
Run: 156, exploration: 0.34485678809548126, score: 47, time: 1250.489975452423
Run: 157, exploration: 0.34313250415500385, score: 35, time: 1256.3430078029633
Run: 158, exploration: 0.3414168416342288, score: 46, time: 1262.146568775177
Run: 159, exploration: 0.33970975742605763, score: 37, time: 1268.0758171081543
Run: 160, exploration: 0.33801120863892736, score: 1000, time: 1290.166895866394
Run: 161, exploration: 0.3363211525957327, score: 1000, time: 1312.4815890789032
Run: 162, exploration: 0.33463954683275404, score: 1000, time: 1334.6985080242157
Run: 163, exploration: 0.3329663490985903, score: 1000, time: 1357.204391002655
Run: 164, exploration: 0.3313015173530973, score: 1000, time: 1379.4376473426819
Run: 165, exploration: 0.3296450097663318, score: 1000, time: 1401.4629051685333
Run: 166, exploration: 0.32799678471750016, score: 1000, time: 1424.0020160675049
Run: 167, exploration: 0.32635680079391266, score: 1000, time: 1445.5070679187775
Run: 168, exploration: 0.3247250167899431, score: 1000, time: 1468.180608510971
Run: 169, exploration: 0.3231013917059934, score: 1000, time: 1491.1224439144135
Run: 170, exploration: 0.3214858847474634, score: 1000, time: 1513.6698763370514
Run: 171, exploration: 0.3198784553237261, score: 1000, time: 1536.4415352344513
Run: 172, exploration: 0.31827906304710746, score: 1000, time: 1559.6905734539032
Run: 173, exploration: 0.3166876677318719, score: 1000, time: 1582.5123064517975
Run: 174, exploration: 0.31510422939321253, score: 1000, time: 1605.1943755149841
Run: 175, exploration: 0.31352870824624646, score: 1000, time: 1628.360857963562
Run: 176, exploration: 0.3119610647050152, score: 1000, time: 1651.8112318515778
Run: 177, exploration: 0.31040125938149016, score: 1000, time: 1675.329383134842
Run: 178, exploration: 0.3088492530845827, score: 1000, time: 1698.7590429782867
Run: 179, exploration: 0.3073050068191598, score: 1000, time: 1721.9397847652435
Run: 180, exploration: 0.305768481785064, score: 1000, time: 1743.711716413498
Run: 181, exploration: 0.3042396393761387, score: 30, time: 1748.8774347305298
Run: 182, exploration: 0.302718441179258, score: 32, time: 1754.3322932720184
Run: 183, exploration: 0.3012048489733617, score: 41, time: 1759.8060309886932
