Run: 66, exploration: 0.541453931983887, score: 71.16014933796676, time: 401.36890482902527
Run: 67, exploration: 0.5387466623239676, score: 1876.3419208268367, time: 409.3899812698364
Run: 68, exploration: 0.5360529290123478, score: 1117.1808753660987, time: 415.83308696746826
Run: 69, exploration: 0.533372664367286, score: 180.418434318118, time: 421.28038692474365
Run: 70, exploration: 0.5307058010454496, score: 1257.4889188684115, time: 429.03138160705566
Run: 71, exploration: 0.5280522720402224, score: 377.46665770598895, time: 434.99166798591614
Run: 72, exploration: 0.5254120106800213, score: 454.8273657061871, time: 441.1064565181732
Run: 73, exploration: 0.5227849506266212, score: 283.0038207469754, time: 447.2417755126953
Run: 74, exploration: 0.5201710258734881, score: 897.5948800136854, time: 453.728622674942
Run: 75, exploration: 0.5175701707441206, score: 805.004147785939, time: 460.1173961162567
Run: 76, exploration: 0.5149823198904, score: 1368.7815965375487, time: 466.7575001716614
Run: 77, exploration: 0.512407408290948, score: 724.9375214533395, time: 474.8823308944702
Run: 78, exploration: 0.5098453712494933, score: 816.2122319733583, time: 482.2875237464905
Run: 79, exploration: 0.5072961443932458, score: 1376.9651770863832, time: 491.16093850135803
Run: 80, exploration: 0.5047596636712796, score: 489.3262494996591, time: 499.0142765045166
Run: 81, exploration: 0.5022358653529232, score: 318.85425033158, time: 505.81675481796265
Run: 82, exploration: 0.49972468602615855, score: 1375.2656241301004, time: 515.1858978271484
Run: 83, exploration: 0.49722606259602775, score: 945.1374626202949, time: 522.8349030017853
Run: 84, exploration: 0.49473993228304763, score: 1169.871405950657, time: 532.1633234024048
Run: 85, exploration: 0.4922662326216324, score: -155.7076476733051, time: 545.9382467269897
Run: 86, exploration: 0.48980490145852423, score: 326.0742009766179, time: 552.4911239147186
Run: 87, exploration: 0.4873558769512316, score: -1304.3759095431897, time: 570.7761747837067
Run: 88, exploration: 0.48491909756647544, score: 477.21487014838414, time: 576.7816531658173
Run: 89, exploration: 0.4824945020786431, score: 310.57269501446547, time: 582.4073369503021
Run: 90, exploration: 0.48008202956824986, score: 317.2387236194221, time: 589.411966085434
Run: 91, exploration: 0.4776816194204086, score: 1275.7463067492426, time: 597.052561044693
Run: 92, exploration: 0.47529321132330654, score: 486.17357261828846, time: 603.44966173172
Run: 93, exploration: 0.47291674526669003, score: 755.60074291421, time: 610.471214056015
Run: 94, exploration: 0.47055216154035656, score: 606.9090623289128, time: 617.5664248466492
Run: 95, exploration: 0.46819940073265476, score: 1122.2215054844853, time: 625.6588039398193
Run: 96, exploration: 0.46585840372899145, score: 658.6873081878001, time: 633.909684419632
Run: 97, exploration: 0.4635291117103465, score: 653.5040593691107, time: 641.2466344833374
Run: 98, exploration: 0.46121146615179476, score: 412.1082607608334, time: 650.7778644561768
Run: 99, exploration: 0.4589054088210358, score: 2137.0219136860237, time: 667.8169417381287
Run: 100, exploration: 0.45661088177693065, score: 725.8009124913007, time: 678.9021782875061
Run: 101, exploration: 0.454327827368046, score: 360.62477821923454, time: 687.9730358123779
Run: 102, exploration: 0.45205618823120575, score: 417.27625780536135, time: 694.9415371417999
Run: 103, exploration: 0.4497959072900497, score: 601.4425999281345, time: 700.9729380607605
Run: 104, exploration: 0.44754692775359944, score: 1599.7530676652739, time: 709.8474433422089
Run: 105, exploration: 0.44530919311483147, score: 615.059452260003, time: 715.6635446548462
Run: 106, exploration: 0.4430826471492573, score: 1328.1839844076032, time: 725.3917107582092
Run: 107, exploration: 0.440867233913511, score: 484.5223511719895, time: 732.5644052028656
Run: 108, exploration: 0.43866289774394346, score: 992.8815707041102, time: 741.9418783187866
Run: 109, exploration: 0.4364695832552237, score: 1212.4908839572672, time: 750.7502567768097
Run: 110, exploration: 0.4342872353389476, score: 1073.4626094084485, time: 760.1909630298615
Run: 111, exploration: 0.43211579916225284, score: 936.4068387198153, time: 767.5424113273621
Run: 112, exploration: 0.42995522016644155, score: 1050.0660579191067, time: 775.7363197803497
Run: 113, exploration: 0.42780544406560933, score: 636.7535981822192, time: 783.2040944099426
Run: 114, exploration: 0.4256664168452813, score: 676.4248720071014, time: 790.6265771389008
Run: 115, exploration: 0.42353808476105487, score: 246.8725047838347, time: 797.3139095306396
Run: 116, exploration: 0.4214203943372496, score: 564.1267707020221, time: 800.0
